ASN|CC|AS_Name
12895|AT|IT-AUSTRIA Vienna, Austria
12897|DE|HEAGMEDIANET Darmstadt, Germany
12898|DE|RIPE
1289|US|COLGATE-UNIVERSITY - Colgate University
12902|NL|LUNA
12903|TR|GARANTI-TECH
12905|SK|ACS-SK-AS
12906|IT|DELTATRE-AS
12907|DE|IPANDMORE
12908|TR|SABANCIUNIV
1290|EU|TELSTRAEUROPELTD-BACKBONE Telstra Europe Ltd
12912|PL|TM
12915|DE|EPAG-AS
12917|SK|GLOBALLOGIC
12922|IT|MULTITRADE-AS
12923|DE|WIZARD-AS
12924|ES|VIAES-AS Sevilla
12925|RU|SINP-MSU
12926|PT|ARTELECOMPT Ar Telecom Autonomous System
12928|CH|BCV
12929|NO|NETCOM-AS Oslo, Norway
12930|AT|CARDCOMPLETE-AS
12931|DE|IDKOM IDKOM Networks GmbH
12933|UA|DONBASS-IX Donetsk, Ukraine
12935|SE|NOCOM Central node
12938|RU|IBHRAN-AS
12939|SE|HANSE-AS
1293|US|HPES - Hewlett-Packard Company
12941|DE|INTERSAAR-AS
12942|BE|NRB-AS
12945|NL|GAMEPOINT Gamepoint autonomous system
12946|ES|TELECABLE Spain
1294|US|DELL-NETPLEX-AS - Dell Systems Corporation
12952|IQ|KNOWLEDGE-PATH-ISP-ASN
12954|IT|SIA Milan
12956|ES|TELEFONICA Telefonica Wholesale Network
12958|RU|MCC SkyLink, Moscow
12961|RO|IE-VNET-AS
12962|BG|FIBANK
12963|UA|VOLZ Scientific -Industrial Firm "Volz" Ltd
12964|DE|DBMG-
12965|LV|SEBBANKA
12966|PL|AS12966
12967|GB|ATT_SOLUTIONS_UK AT&T Solutions UK (dr6348)
12969|IS|VODAFONE_ICELAND
12971|AT|BIOS-AT Perfektastrasse 19
12975|PS|PALTEL-AS PALTEL Autonomous System
12976|RU|SVYAZVSD
12978|TR|DOGAN-ONLINE
12979|RU|TSINET Commercial ISP
12980|EU|EMEA Hosting Autonomous System
12982|BG|BULINFO-AS12982
12984|CZ|PILSFREE
12985|PL|TVKWSM-AS
12986|UA|UKRSPETSCOM
12988|IL|ASN-PHOENIX # AS-PHOENIX CONVERTED TO ASN-PHOENIX FOR RPSL COMPLIANCE
12989|NL|HWNG
12990|PL|ONET-PL-AS1 Onet.pl portal network
12991|AT|LAND-OOE Rechenzentrum
12992|PL|PROSZYNSKI_MEDIA_AS
12993|LV|DEAC-AS
12996|NO|DOMENESHOP Oslo, Norway
12997|KG|KTNET
12998|UA|BGNET-AS
12999|RU|FESU_AS Autonomous system
1299|EU|TELIANET
12|US|NYU-DOMAIN - New York University
13000|PL|LEON-AS
13001|FR|SYSTEMA-AS
13002|RU|LINKEY-AS
13003|DE|WEBMATIC
13004|RS|SOX
13005|GB|C2INTERNET ******************************************************
13006|NL|DIDLOGIC-AS
13009|GB|VDATA
13010|DE|MTS
13011|RO|RA-MONITORUL-OFICIAL-AS Parcului nr. 65
13012|DE|GENIAS-AS
13016|RU|TELELINE-NET
13018|IT|AS13018
1301|EU|FR-EDFDPT3 Electricite de France Service National
13021|RO|AREXIM-AS Bucharest, Bd. Carol I Nr.54
13022|AT|AS13022
13023|UA|WEBBER
13026|AT|K-WLAN-AS
13027|UA|UKRINFORM
13029|RU|GCSI-CHUVASHII-AS
13030|CH|INIT7
13031|DE|ASN-ARAGO
13032|UA|AS13032
13034|FR|AS-PAGESJAUNES
13035|IT|IPTELECOM
13036|CZ|TMOBILE-
13037|GB|ZEN-AS Zen Internet Plexus Network - UK
13038|GR|HELEX-RP
13039|DE|GLOBAL-VILLAGE Mehrumer Str. 16
1303|EU|FR-IDRIS-ORSAY
13040|DE|ASN-FIZ
13041|ES|CESCA-AC
13042|AT|ASN-OENB-
13043|DE|AS13043
13044|LB|ASAOUN
13045|DE|HTP-AS
13046|HR|ASN-ISKON
13053|UA|ASSOFTTRONIK Kiev,Ukraine
13054|DE|FREINET Freiburg, Germany
13055|RU|CSVLG-AS
13056|RU|RT-TMB-AS Tambov branch
13057|DK|Esplanaden 50
13059|RO|EXTREME-SOLUTIONS
13060|IT|ASN-BASICNET L.go Maurizio Vitale, 1
13063|SE|Gothenburg
13065|PL|ZIELMAN-COM-AS
13068|AT|AS13068
13069|NO|DATAGUARD
13070|LV|LVSILALE-AS
13073|IL|IFAT-AS
13074|IL|TELETEL-AS
13075|RU|MEGALABS-AS
13077|RU|NCFU
13078|RU|CTINET-AS CTINET Autonomous System
13079|RU|ZONDH AS for RU-ZNETWORK
1307|EU|FR-U-JUSSIEU-PARIS
13082|KZ|AS13082
13085|RO|CARPATICA-AS
13089|IT|UC-AS-PAVILION
13091|RS|PTT-SRBIJA-NET
13092|RS|UB-AS
13093|IL|IBO-AS
13094|RU|SFO-IX-AS
13095|RU|CTK-NET-AS
13097|IT|ASN-TELEMAR
13099|AZ|AET-AS
13101|DE|TNG-AS TNG Stadtnetz GmbH
13102|TR|BILGIEDU
13105|RU|LUKOIL-INFORM-AS
13106|UA|DONAPEX-AS
131072|AU|APNIC-RD-AP APNIC R&D Centre
131078|Unknown|AS131078
13107|UA|ICM
131088|AU|WAIA-4BYTE-AS-AP Western Australian Internet Association
131090|Unknown|AS131090
131091|HK|GSS-AS-AP GOLD SUNSHINE INTERNATIONAL LIMITED
131098|Unknown|AS131098
131099|Unknown|AS131099
131100|Unknown|AS131100
131107|AU|APNICTRAINING-DC ASN for APNICTRAINING LAB DC
13110|PL|INEA-AS
131111|ID|CEPATNET-AS-ID PT Mora Telematika Indonesia
131112|Unknown|AS131112
131125|Unknown|AS131125
131126|Unknown|AS131126
131127|Unknown|AS131127
131128|Unknown|AS131128
131130|Unknown|AS131130
131134|Unknown|AS131134
13113|IT|ISILINE-AS Via Torino, 73
131142|TW|APOL-AS-TW Asia Pacific On-Line Service Inc.
131143|Unknown|AS131143
131144|Unknown|AS131144
131148|Unknown|AS131148
131149|Unknown|AS131149
131150|Unknown|AS131150
131155|Unknown|AS131155
131158|Unknown|AS131158
131159|Unknown|AS131159
13115|DE|HOME-OF-THE-BRAVE
131160|Unknown|AS131160
131162|TH|TRUEINTERNET-AS-AP Internet Service Provider in Thailand
131164|TW|SINOTECH-TW-AP 61 Ming Chuan Road Section 1
131166|VU|WNL-AS-AP Wantok Network Limited
131168|NZ|PAYMENTEXPRESS-NZ Payment Express Limited
131169|IN|ONMOBILEGLOBAL-AS-AP #26, Bannerghatta Road, J. P. Nagar, Phase III
13116|SE|TELE2RU
131170|IN|EFINOC-AS-AP Electronics For Imaging India Private Limited
131171|PH|S-TECH-AS-AP S-Tech LTD.
131174|NZ|VIVID-GLOBAL-NZ-AP Vivid Solutions, ISP, Auckland
131178|KH|KINGCORP-KH OpenNet ISP Cambodia
131179|BD|ABIRTELECOM Abir Telecom IIG
13117|NL|ASNXGEU
131180|PH|PLDT-AMLC-AP Anti-Money Laundering Council of the Philippines - PLDT
131181|IN|FTCL-AS-IN-AP Financial Technologies Communication Limited
131182|AU|CMSIT-AS-AP CMS INFORMATION TECHNOLOGY PTY LIMITED
131183|BD|EPNET-AS-AP Empowering Net (epnet)
131184|HK|FSHL-AS Fountain Set (Holdings) Ltd
131188|HK|READYSPACE-HK Global Gateway, Tsuen Wan, New Territories, Hong Kong
131189|HK|LIVECOMLIMTED-AS-AP Livecom Limited
13118|RU|ASN-YARTELECOM PJSC Rostelecom
131194|SG|PGI-NET-AS-AP-SG PGi
131195|SG|SIM-SG-AS-AP SIM Headquarters
131196|NZ|ENABLENET-AS-AP Enable Networks
131198|NZ|MEDIATRIBELIMITED-AS-AP Mediatribe Limited
131199|US|NEXEON-AS-AP Nexeon Technologies, Inc.
13119|PL|ACI-COM-AS
1311|US|BARRA-NET-AS - BARRA
131202|NZ|GRAVITY-AS-AP Gravity Internet Ltd
131204|AU|CKSW-AS-AP CLICKSOFTWARE AUSTRALIA PTY LTD
131207|KH|SINET-KH SINET, Cambodia's specialist Internet and Telecom Service Provider.
13120|DK|Roskilde, Denmark
131210|IN|YASHTEL1-AS-AP 2713/4 lakshmi building adipampa road v.v.mohalla
131214|AU|IHPL-AS-AP Interact Hosting Pty Ltd
131215|IN|SANCHARONLINE-IN 116 MADHAV DARSHAN
131216|BD|AS131216
131217|SG|INFINEON-SG 8 Kallang Sector
131218|LK|INNODATA-ISOGEN-AS-LK Innodata Lanka Pvt Ltd
131219|SG|ISPL-AS-AP Indosat Singapore Pte. Ltd.
13121|UA|NAVIGATOR
131220|AU|OMD-AS-AP Optimum Media Direction Pty Ltd
131221|TH|PBRU-AS-AP Petchaburi Rajabhat University
131224|HK|SGC-CAL-AS SGC-Cloud Alliance Limited
131225|AU|CSENERGY-AU Level 21
131226|IN|IITR-AS-AP Indian Institute Of Technology Roorkee
131227|NZ|TUSSOCK-AS-AP Tussock Networks Limited
13122|GB|MANX-AS MANX-TELECOM Autonomous System
131230|AU|M10HALLAM-AS-AP Mitre 10 Australia Pty. Ltd
131231|HK|WPPNET-AS-AP EXPAN Singapore
131232|IN|ADPPRIVATELIMITED-IN ADP Private Limited
131234|HK|AEDAS-HK 31/F One Island East
131235|IN|SYNTELNET-IN Unit 69 SDF III
131236|SG|GENWORXPTELTD-AS-AP Genworx Pte Ltd
131239|NZ|AUCKLANDCOUNCIL-AS-AP Auckland Council
131242|IN|NUTANIX-AS-AP Nutanix Technologies India Pvt Ltd
131244|SG|ICAOS-AS-AP ICA ORTHO SERVICES PTE. LTD.
131245|PH|UPD-COE-AS-AP University of the Philippines
131246|TH|LRU-AS-AP LOEI university network ,LOEI, Thailand
131247|BD|INFOBD24SYSTEMS-AS-AP Infobd24 Systems
131249|TH|IDC-CSLOXINFO-AS-TH CS LOXINFO, Internet Data Center Service
13124|BG|IBGC
131251|PH|DLS-DASMA Dasmarinas City Cavite
131253|PH|DLS-LIPA De La Salle-Lipa
131254|NZ|NORTHPOWER-AS-AP Northpower Ltd
131255|IN|CALIBERPOINT-BUSINESS-AS-AP Caliber Point Business Solutions Ltd
131256|IN|MGRM-IN MGRM DIGITAL CLOUD SERVICES PRIVATE LIMITED
131257|TH|SRU-AS-AP Suratthani ratjabhat university, Thailand
131258|PH|DLS-CSB-SDA 905 Pablo Ocampo Street, Malate, Manila, 1004 Philippines
131259|SG|QX-AS-AP QOXY PTE LTD
131262|IN|KELNET-AS-AP Kelnet Communication Services (P) Ltd.
131264|AU|AS131264
131265|IN|TCS-ESERVE-AS-AP TCS eServe Limited
131267|LA|UNITEL-LA PO box T511 Phonexay road - Xaysettha district
131268|AU|SCRC-NETWORK-AS-AP Sunshine Coast Regional Council
131269|IN|BEAMTELE-AS-AP ACTFIBERNET Pvt Ltd
13126|GB|SMS-UK-NET
131270|AU|PTGL-AS-AP Planet Technology Group Ltd
131271|HK|ABSATELLITE-AS-AP Asia Broadcast Satellite Ltd.
131272|NZ|OPENPOLY-AS-AP The Open Polytechnic of New Zealand
131273|TW|HIMOREDIGITAL-AS-AP HiMORE Digital
131274|HK|CYPRESSTEL-HK Cypresstel Global Network
131275|PK|AS131275
131276|PH|BISI-AS-AP BT INFOCOMMUNICATIONS SPECIALIST INC.
131278|BD|AS131278
131279|KP|STAR-KP Ryugyong-dong
13127|NL|VERSATEL AS for the Trans-European Tele2 IP Transport backbone
131280|HK|HIL-NON-AS-AP Hutchison International Limited
131281|PH|UPV-AS-AP University of the Philippines, Visayas Cebu Campus
131282|AU|EFSA-AS-AP ELEMENT FLEET SERVICES AUSTRALIA PTY LTD
131283|IN|HDFCBANK-IN HDFC Bank House
131284|AF|ETISALATAFG-AS-AP Etisalat Afghan
131285|SG|BLUEBERRYTEL-SG No. 400, Orchard Road, #24-07
131286|AU|BILMARKPTYLTD-AS-AP Bilmark Pty Ltd
13128|DE|LIT-BERLIN-AS
131290|AU|RACWA-AS-AP RACWA Holdings Pty Ltd
131291|NZ|LANWORXLIMITED-AS-AP LANWorx Limited
131292|AU|HCSPL-AS-AP Hub Computing Services Pty Ltd
131293|TH|TOT-LLI-AS-AP TOT Public Company Limited
131294|AU|ANMM-AU 2 Murray Street
131295|AU|EMMPL-AS-AP Employers Mutual Management Pty Ltd
131296|NZ|REXNETWORKS-AS-AP REXNETWORKS LIMITED
131299|IN|TNPL-AS-AP tornado net private limited
1312|US|VA-TECH-AS - Virginia Polytechnic Institute and State Univ.
131302|IN|EDELWEISS-IN 294/3 Vidhya Nagari Marg
131303|PH|FCCDCI-NET-PH 4/F Podium RCBC Plaza Tower I
131306|PH|CCI-AS-AP CITI Cableworld Inc.
13130|DE|AUTOSTADT Germany
131310|MY|PLT-NET-MY CX2 Computer Exchange
131312|AU|TAYLOR-AS-AP TAYLOR CONSTRUCTION GROUP PTY LTD
131314|HK|CBCCOM-AS-AP China Broadband Communications (Hong Kong) Company Limited
131315|AU|RACP-AU 145 Macquarie Street
131316|AU|SLNET-AU Slnet Hosting
131317|IN|TTSLMEIS-IN TTSL-ISP DIVISION
131318|NZ|WIALUS-SOLN-AS-AP Wialus Solutions Limited
131322|MM|YTCL-AS-AP Yatanarpon Teleport Company Limited
131323|NZ|HONDA-AS-AP Honda New Zealand Ltd
131324|HK|M9TCL-AS-AP 92Cloud Technology Co., Limited
131325|CN|CHINATELECOM-YUNNAN-KUNMING-MAN KunMing
13132|DE|CYBERWAYS-AS Germany
131331|KH|BDKTEL-KH BDKTel Co., Ltd.
131332|MY|MYEVOLUTION-MY 113-B, Jalan Aminuddin Baki
131337|HK|MANULIFE-HK Block B, Manulife Financial Center
131341|NP|DOITGON-AS-AP Department of Information Technology, Government of Nepal
131342|VN|TECHCOMBANK-AS-VN Vietnam Technological and Commercial Joint-stock Bank - Techcombank
131345|Unknown|AS131345
131347|Unknown|AS131347
131348|Unknown|AS131348
131349|Unknown|AS131349
13134|EU|AS13134
131351|Unknown|AS131351
131352|Unknown|AS131352
131353|Unknown|AS131353
131354|Unknown|AS131354
131355|Unknown|AS131355
131357|Unknown|AS131357
131358|Unknown|AS131358
13135|DE|CREW-AS Hamburg, Germany
131360|Unknown|AS131360
131361|Unknown|AS131361
131362|Unknown|AS131362
131363|Unknown|AS131363
131364|Unknown|AS131364
131365|Unknown|AS131365
131366|Unknown|AS131366
131367|Unknown|AS131367
131368|Unknown|AS131368
131369|Unknown|AS131369
13136|NL|INTERSTROOM-AS Hengelo, The Netherlands
131371|Unknown|AS131371
131372|Unknown|AS131372
131373|Unknown|AS131373
131375|Unknown|AS131375
131377|Unknown|AS131377
131379|Unknown|AS131379
13137|ES|AS13137
131380|Unknown|AS131380
131381|Unknown|AS131381
131383|Unknown|AS131383
131385|Unknown|AS131385
131386|Unknown|AS131386
131387|Unknown|AS131387
131388|Unknown|AS131388
131389|Unknown|AS131389
13138|TR|TEBBANKA Istanbul Turkey
131390|Unknown|AS131390
131391|Unknown|AS131391
131392|Unknown|AS131392
131394|Unknown|AS131394
131395|Unknown|AS131395
131396|Unknown|AS131396
131397|Unknown|AS131397
131398|Unknown|AS131398
1313|US|ADOBE1-AS-AS - Adobe Systems Inc.
131401|Unknown|AS131401
131402|Unknown|AS131402
131403|Unknown|AS131403
131404|Unknown|AS131404
131405|Unknown|AS131405
131407|Unknown|AS131407
131408|Unknown|AS131408
131410|Unknown|AS131410
131411|Unknown|AS131411
131412|Unknown|AS131412
131413|Unknown|AS131413
131414|Unknown|AS131414
131415|Unknown|AS131415
131417|Unknown|AS131417
131418|Unknown|AS131418
131419|Unknown|AS131419
131421|Unknown|AS131421
131423|Unknown|AS131423
131425|Unknown|AS131425
131426|Unknown|AS131426
131427|Unknown|AS131427
131428|Unknown|AS131428
131429|Unknown|AS131429
131430|Unknown|AS131430
131431|Unknown|AS131431
131433|Unknown|AS131433
131434|Unknown|AS131434
131435|Unknown|AS131435
131438|VN|VNPOST-AS-VN VIETNAM POST
131439|Unknown|AS131439
131440|VN|NGUYENBAO-AS-VN Nguyen Bao Digital Company Limited
131442|IN|DIGITALNETWORK-IN Digital Network Associates Pvt Ltd
131444|SG|HIPL-AS-AP Huawei IT Data Center in AP
131445|TH|AIS3G-2100-AS-AP Advance Wireless Network
131446|AU|MMG-AU Minerals and Metals Group Ltd
131447|TH|POP-IDC-TH POPIDC powered by CSLoxinfo
131448|HK|TGRB-AS-AP Broadband Networks
131454|KH|CPROCOLTD-AS-AP C-PRO CO., LTD.
131455|AU|ONSITECOMPUTERS-AU 22 Stirling St
131458|IN|WILLIAMSLEA-AS-AP WILLIAMS LEA INDIA PRIVATE LIMITED
131459|IN|VCPL-IN 88c, Race Course Road, Coimbatore 641018
131460|TH|ASIASOFTNET-TH 9 UM Tower
131462|AU|LANDGATE-AS-AP Landgate Western Australian Land Information System Office
131463|IN|STN-COMM5-IN STN COMMUNICATION & ADVERTISING PVT LTD
131464|BD|DJBL-AS-AP Digi Jadoo Broadband Ltd
131465|HK|TANGINTERNET-AS-AP TANG INTERNET LIMITED
131466|AU|VISION6-AS-AP Vision 6 Pty Ltd
131467|BN|EGNC-AS EGNC (E-Government National Centre)
131468|IN|LIVES1-IN Livestream Technologies Private Limited
131473|IN|SRMU-GROUP-IN SRM Nagar
131474|AU|GUMTREE-AS-AP Gumtree.com Australia Pty Ltd
131475|SG|SIT-AS-AP Singapore Institute of Technology
131476|AU|FUSIONBB-AU 10/50 Market St
131477|CN|SHHJ-AS Shanghai Huajuan Information Technology Co., Ltd.
131478|AU|AS131478
13147|BG|NETINFO 12 "Emil Bersinski" Str
131480|AU|INNOVATIONSDIRECT-AS-AP Innovations Direct Pty Ltd
131486|Unknown|AS131486
13148|DE|ASPOET An der RaumFabrik 33a
131503|Unknown|AS131503
131506|Unknown|AS131506
13150|DE|CATON
131519|Unknown|AS131519
131524|Unknown|AS131524
131525|Unknown|AS131525
131535|Unknown|AS131535
13153|GR|SINGULARLOGIC_INTEGRATOR
131541|Unknown|AS131541
13154|CH|RZZRECHENZENTRUM-AS
131558|Unknown|AS131558
13155|RU|MTS-IRK-AS
131562|Unknown|AS131562
13156|PT|AS13156 Palmela
131577|Unknown|AS131577
131578|Unknown|AS131578
13157|DE|GOPAS-AS Schellerdamm 16
131581|AU|INPEX-NET-AS-AP INPEX Australia
131582|SG|QUAPEPTELTD-AS-AP QUAPE PTE LTD
131583|NZ|WIZWIRELESS-AS-AP WIZwireless Limited
131584|TW|TAIFO-AS-TW Taiwan Intelligent Fiber Optic Network Co.,Ltd.
131586|Unknown|AS131586
131587|Unknown|AS131587
131588|Unknown|AS131588
131589|Unknown|AS131589
131590|Unknown|AS131590
131591|Unknown|AS131591
131593|Unknown|AS131593
131595|Unknown|AS131595
131596|Unknown|AS131596
131597|Unknown|AS131597
131599|Unknown|AS131599
1315|US|IPFS - Imperial PFS
131600|Unknown|AS131600
131601|Unknown|AS131601
131603|Unknown|AS131603
131605|Unknown|AS131605
131607|Unknown|AS131607
131609|Unknown|AS131609
13160|IT|EMMELIBRI-AS
131613|Unknown|AS131613
131618|Unknown|AS131618
131619|Unknown|AS131619
131620|Unknown|AS131620
131621|Unknown|AS131621
131623|Unknown|AS131623
131625|Unknown|AS131625
131626|Unknown|AS131626
131627|Unknown|AS131627
131630|Unknown|AS131630
131631|Unknown|AS131631
131632|Unknown|AS131632
131636|Unknown|AS131636
131642|Unknown|AS131642
13165|RU|SIBINTEK-AS Moscow Russia
13167|DE|MERCK-KGAA Darmstadt / Germany
131684|MY|UNIVERSALCONNECTIONSTECHNOLOGIES-AS-AP Universal Connections Technologies (M) Sdn. Bhd.
131686|BD|CCN-AS-AP MD. Khurshid Alom t/a Computer Complex Network
131692|Unknown|AS131692
131693|Unknown|AS131693
131694|Unknown|AS131694
131697|Unknown|AS131697
131699|Unknown|AS131699
13169|NL|AS13169
131703|Unknown|AS131703
131706|Unknown|AS131706
131708|Unknown|AS131708
131709|Unknown|AS131709
13170|FI|KPO-AS
131710|Unknown|AS131710
131711|Unknown|AS131711
131713|Unknown|AS131713
131715|Unknown|AS131715
131716|Unknown|AS131716
131717|Unknown|AS131717
131718|Unknown|AS131718
131719|Unknown|AS131719
13171|BY|BSU
131720|Unknown|AS131720
131721|Unknown|AS131721
131722|Unknown|AS131722
131723|Unknown|AS131723
131724|Unknown|AS131724
131726|Unknown|AS131726
131727|Unknown|AS131727
131728|Unknown|AS131728
13172|BG|ESO
131734|Unknown|AS131734
131735|Unknown|AS131735
131737|Unknown|AS131737
131738|Unknown|AS131738
131739|Unknown|AS131739
13173|GB|FORESHORE-AS
131740|Unknown|AS131740
131741|Unknown|AS131741
131743|Unknown|AS131743
131745|Unknown|AS131745
131746|Unknown|AS131746
131748|Unknown|AS131748
131749|Unknown|AS131749
13174|RU|MTSNET Moscow, Russia
131753|Unknown|AS131753
131754|Unknown|AS131754
131755|Unknown|AS131755
131757|Unknown|AS131757
131758|Unknown|AS131758
131759|Unknown|AS131759
131760|Unknown|AS131760
131761|Unknown|AS131761
131762|Unknown|AS131762
131763|Unknown|AS131763
131765|Unknown|AS131765
131767|Unknown|AS131767
131769|Unknown|AS131769
131772|Unknown|AS131772
131773|Unknown|AS131773
131775|Unknown|AS131775
131776|Unknown|AS131776
131778|Unknown|AS131778
131779|Unknown|AS131779
131780|Unknown|AS131780
131781|Unknown|AS131781
131782|Unknown|AS131782
131783|Unknown|AS131783
131784|Unknown|AS131784
131785|Unknown|AS131785
131787|IN|KELTRON-IN Keltron House
131789|AU|SWITCHLINK-AS-AP SWITCHLINK PTY LTD
13178|FR|DIGCOMM
131790|SG|SANOFI-SG 6 Raffles Quay #18-00
13180|IT|CEDACRINORD-AS via Conventino, 1
13181|RO|ASISPE
13182|IT|ASN-ADHOC-NETWORK Rimini, Italy
13183|IT|ISGS-AS
13185|RU|UNIVOREL-AS
13187|DE|RHEIN-CHEMIE-AS
13188|UA|TRIOLAN
131891|PH|CEBUAIRINC-AS-AP Cebu Air Inc.
131893|JP|RICOH-NET RICOH Company, Ltd.
131894|Unknown|AS131894
131895|Unknown|AS131895
131896|Unknown|AS131896
131897|Unknown|AS131897
131899|Unknown|AS131899
13189|SE|LIDERO Lidero Network
131901|Unknown|AS131901
131903|Unknown|AS131903
131904|JP|CYBERFEELINC-JP Cyber Feel Inc.
131905|JP|JPRS-GTLD Japan Registry Services Co., Ltd.
131906|Unknown|AS131906
131907|Unknown|AS131907
131909|Unknown|AS131909
13190|LI|CRYPTOSHELL
131910|Unknown|AS131910
131911|Unknown|AS131911
131912|Unknown|AS131912
131913|Unknown|AS131913
131914|Unknown|AS131914
131915|Unknown|AS131915
131916|Unknown|AS131916
131917|Unknown|AS131917
131918|Unknown|AS131918
131919|Unknown|AS131919
131920|Unknown|AS131920
131921|Unknown|AS131921
131923|Unknown|AS131923
131924|Unknown|AS131924
131925|Unknown|AS131925
131926|Unknown|AS131926
131927|Unknown|AS131927
131928|Unknown|AS131928
131929|Unknown|AS131929
13192|RU|AS13192
131930|Unknown|AS131930
131931|Unknown|AS131931
131932|Unknown|AS131932
131933|Unknown|AS131933
131934|Unknown|AS131934
131936|Unknown|AS131936
131937|Unknown|AS131937
131938|Unknown|AS131938
131939|Unknown|AS131939
13193|FR|ASN-NERIM
131940|Unknown|AS131940
131941|Unknown|AS131941
131942|Unknown|AS131942
131943|Unknown|AS131943
13194|LT|BITE Bite IP Network
131993|IN|QUINNOX-IN UNIT 107 MULTISTORIED BUILDING, SEEPZ
131994|HK|DBINDIA-IN Deutsche Bank AG
131995|NC|XLPROG-AS-AP XLPM
131996|MY|NGNSB-AS-AP NEVIGATE GLOBAL NETWORK SDN. BHD.
131998|AU|TMAUS1-NET-AS-AP Ticketmaster Australasia
131999|AU|LATERAL-PLAINS-AS-AP Lateral Plains Pty Ltd
13199|CZ|DOUBRAVA-NET
131|US|UCSB-NET-AS - University of California, Santa Barbara
132000|AU|HANSEN-AS-AP Hansen Corporation Pty Ltd
132001|NZ|WELLINGTON-FREEWIFI-AP Citylink Ltd
132003|NZ|VUW-SOFTNETLAB-AP Network Research Lab
132004|IN|TOUCHNET-IN Touch Net India Pvt. Ltd.
132005|IN|XCELLHOST-IN 209, Laxmi Plaza
132006|GB|DIOM-AS-AP Domicilium (IOM) Ltd
132007|AU|DWI-AS-AP DataWave Internet Pty Ltd
132009|TH|EASYBUY-AS-AP True Internet Co., Ltd.
13200|PT|BANCOBPI Portugal
132013|TH|ICS-AS-AP True Internet assigned for ICS
132014|NZ|NETPOLLER-AS-AP NetPoller Limited
132015|AU|ITONCLOUD-AU ITonCloud
132016|SG|IRESS-NET-AU IRESS Market Technology Ltd
132018|AU|EVENTZERO-AS-AP Event Zero
132020|AU|NINEWIRE-AS-AP NineWire Pty Ltd
132021|PH|KALIBOCABLE-PH Veterans Avenue Kalibo, Aklan
132022|MY|AKTIFNET-AS-AP Aktif Setegap Sdn Bhd
132023|NZ|GREENFIELDS-AS-AP Greenfields Internet Limited
132027|NZ|HDC-AS-AP Hastings District Council
132028|IN|ASPIRESYS-NET-IN Aspire Systems India Private Ltd
132029|AU|ASN-TELSTRA-02 Telstra Pty Ltd.
13202|UA|SUMY-NET
132030|AU|VES-AS-AP VEOLIA ENVIRONMENTAL SERVICES (AUSTRALIA) PTY LTD
132031|NZ|TAYLORCOMMUNICATIONS-AS-AP Taylor Communications Ltd
132032|TH|DTAC-BROADBAND-AS-AP DTAC BROADBAND CO.,LTD.
132033|MY|ECSNET-MY Lot 3, Jalan Teknologi 3/5, Taman Sains Selangor
132035|MY|UUM-MY-AS-AP Computer Center
132037|MM|HTCL-AS-AP HO'NGSA' TELECOM COMPANY LIMITED
132038|AU|PGI-NET-AU PGi
132040|NZ|CITYLINK-CT-AP Citylink Ltd
132043|IN|MHSDC2011-AS 4th Floor New Administrative Building
132044|AU|HCAPL-AS-AP HEALTHE CARE AUSTRALIA PTY LTD
132045|LK|AIRTEL-AS-ISP Bharti Airtel Lanka Pvt. Limited
132046|PH|SUNBRIDGE-PH-AS-AP 3705 West of ayala, 252 Sen Gil Puyat Avenue
132047|SG|MYREPUBLIC-SG MyRepublic Ltd.
13204|TR|TERAMENKUL
132052|IN|CYBERSPACE-IN NIL-36C, Malviya Nagar
132053|SG|QUALCOMM-IN-AS-AP Qualcomm Inc
132055|AU|EYELLEN-AP Ernst & Young Global Services Ltd.
132056|HK|SCICUBE-AS RM B, 2/F 88 KWAI CHEONG ROAD
132057|HK|RHL-28-AS-HK REDI Technologies Hong Kong Limited
132059|PH|TV5-PH 762 Quirino Highway, San Bartolome
13205|GB|BTWWIDC-H Autonomous System
132061|TH|REALMOVE-AS-AP Realmove Company Limited
132063|TH|KITTI-AS-AP KITTI BOONMEE
132064|AU|INTERVOLVE-CANBERRA-AS-AP INTERVOLVE
132065|IN|NTTDATA-GDS-IN NTT Data Global Delivery Services Limited
132066|NZ|NPDC-AS-AP New Plymouth District Council
132070|AU|INTERVOLVE-BRISBANE-AS-AP Interhost Pacific Pty Ltd t/a Intervolve.
132071|Unknown|AS132071
132072|AU|ANYCAST-AS-AP Anycast Access
132075|IN|TMBS-IN Tech Mahindra Business Services Limited
132077|AU|FMGL-AU Fortescue Metals Group Ltd
132080|KH|MATCORP-AS-AP M.A.T Co., Ltd.
132082|BD|GLOBAL2-AS-AP Global Infosys Limited
132083|NZ|FCSL-AS-AP FOUNDATION CLOUD SERVICES LIMITED
132084|AU|OPSOURCE-AP 5201 Great America Pkwy # 120
132087|SG|SKYLABTEAM-AS-AP Skylab Networks Pte. Ltd.
132089|IN|XSSPL-AS-AP XAVIENT SOFTWARE SOLUTION(INDIA) PRIVATE LIMITED
13208|GB|NEWTELSOLUTIONS-AS Channel Islands
132090|IN|MSPL-AS-AP Mify Solutions Pvt. Ltd.
132092|BD|ITBASE-AS-AP Mir Mosharrof Hossain t/a IT Base
132094|AU|KSOL-AS-AP Kritikos Solutions Pty Ltd
